Name,Ticker,Min Investment,Price Per Token,Stage,Token Type,Investor Type,Description
4315 E 119th St,RealT,$50,$49.94,Trading,Equity,International Non-US,"Nestled next to Crawford Park in the Corlett neighborhood, 4315 E 119th St presents a colonial-style home that spans three stories. This single-family residence boasts 4 bedrooms and 1 bathroom across..."
RealT Raise,RealT,$50,$50,Trading,Equity,Non-Accredited Retail,"RealT's equity token offering, conducted under the Swiss DLT Act, provided investors with an opportunity to acquire equity in RealT, a platform specializing in property tokenization. With a minimum in..."
5733 Neely Ln,RealT,$49,$48.96,Trading,Equity,International Non-US,"5733 Neely Ln is a beautifully renovated single-family home in Montgomery's scenic Fairfield neighborhood. This residence features 3 bedrooms, 2 full bathrooms, and central heating and cooling, all wi..."
WisdomTree Siegel Global Equity Digital Fund,EQTYX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,"The WisdomTree Siegel Global Equity Digital Fund seeks long-term capital appreciation utilizing an asset allocation strategy by predominantly investing in exchange traded funds, including a significan..."
1 Holdings Belvidere St,RealT,$54,$54.45,Trading,Equity,International Non-US,TBA
4680 Buckingham Ave Detroit,RealT,$51,$50.54,Trading,Equity,International Non-US,TBA
581-587 Jefferson Ave Rochester NY,RealT,$58,$58.48,Trading,Equity,International Non-US,TBA
18524 Patton St,RealT,$50,$49.73,Trading,Equity,International Non-US,TBA
16085 E Seven Mile,RealT,$50,$50.23,Trading,Equity,International Non-US,"16085 E Seven Mile is a classic RealT bread-and-butter property: it was acquired at a good price, and offers stable rents month after month. Built in 1947, this new offering is composed of 10 units wi..."
3888 Fairview St,RealT,$51,$51.13,Trading,Equity,International Non-US,TBA
19201 Westphalia St Detroit,RealT,$52,$52.17,Trading,Equity,International Non-US,TBA
1769 Cheryl Ave,RealT,$50,$49.56,Trading,Equity,International Non-US,TBA
19311 Keystone St,RealT,$52,$52.13,Trading,Equity,International Non-US,TBA
10974 Worden St,RealT,$55,$55.15,Trading,Equity,International Non-US,"The single-family home at 10974 Worden St is situated in the Moross - Morang suburb of Detroit, Michigan. Built in 1948, the house encompasses 1,000 square feet of living space on a 5,227 square foot..."
14494 Chelsea Ave Detroit,RealT,$53,$53.16,Trading,Equity,International Non-US,TBA
UBS - 375M CHF,UBS375M,"$56,828",$,Trading,Fixed Income,International Non-US,UBS AG priced its inaugural senior unsecured digital bond and will be issued on the blockchain-based platform of SIX Digital Exchange (SDX) while being dual listed and traded on SDX and SIX Swiss Exch...
20240 Rogge St,RealT,$51,$50.60,Trading,Equity,International Non-US,"Presenting 20240 Rogge, a single-family residence in the Sherwood neighborhood. This brick bungalow consists of 3 bedrooms and 1 bathroom, and includes an extra fenced-in lot with a basketball rim, ad..."
10717-10719 Bryant Ave,RealT,$50,$50.23,Trading,Equity,International Non-US,TBA
WisdomTree Short Term Treasury Digital Fund,WTSYX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,"The WisdomTree Short-Term Treasury Digital Fund seeks to track the performance, before fees and expenses, of an Index designed to measure the performance of obligations of the U.S. Treasury, which inc..."
15208 Bringard Dr,RealT,$56,$55.67,Trading,Equity,International Non-US,"The single-family house at 15208 Bringard Dr, located in the Regent Park neighborhood of Detroit, Michigan, was built in 1948. The property offers 1,700 square feet of living space and is situated on..."
4638 Blythin Rd,RealT,$50,$50.05,Trading,Equity,International Non-US,"4638 Blythin stands out as a striking vermillion 2-story single-family home featuring barn-style architecture, offering 3 bedrooms, 1 bathroom, and a spacious 2,123 square feet of living space on a 4,..."
425 Steward Ave,RealT,$51,$50.73,Trading,Equity,International Non-US,TBA
1617 S Avers Ave,RealT,$51,$50.85,Trading,Equity,International Non-US,"The multi-family building at 1617 S Avers Ave in the North Lawndale neighborhood of Chicago, Illinois, was built in 1911. It consists of 6 units, each with 2 bedrooms and 1 bathroom, and a total inter..."
9336 Patton St,RealT,$66,$65.50,Closed,Equity,International Non-US,"9336 Patton Street is a single-family home located in the Franklin Park neighborhood of the greater Detroit area. Patton is a mid-century 3 bed, 1 bath, single floor property. Patton is local to a num..."
10822 Whitehill St,RealT,$50,$50.04,Trading,Equity,International Non-US,"The property is strategically positioned near 14903 Promenade and other RealT portfolio homes in the Conner neighborhood, enabling us to apply an economy-of-scale strategy. This approach optimizes mai..."
5846 Crane St,RealT,$53,$52.90,Trading,Equity,International Non-US,TBA
18527-18529 Kelly Rd,RealT,$48,$48.48,Trading,Equity,International Non-US,TBA
14839 Wisconsin St,RealT,$57,$56.95,Trading,Equity,International Non-US,"The single-family home at 14839 Wisconsin St in the Harmony Village area of Detroit, Michigan, was built in 1926. The residence features an interior space of 1,296 square feet and a lot size of 3,920..."
Science,SCI2,"$25,000",$0.95,Trading,Lp Fund Interest,US Accredited,"Science invests in and build the next generation of companies shaping the future. They bring together top ideas, talent, and financing through a centralized platform to help uncover trends they can sh..."
22512 W McNichols Rd,RealT,$50,$50.44,Trading,Equity,International Non-US,TBA
4422 Lillibridge St,RealT,$51,$50.73,Trading,Equity,International Non-US,"Just a stone’s throw away from Brewer Park, residents also enjoy easy access to various recreational amenities and green spaces."
Deutsche Borse - 1B EUR,DB1B,-,$,Trading,Fixed Income,International Accredited,Linklaters advised Deutsche Börse AG on the successful issuance of corporate bonds in three tranches and in an aggregate volume of three billion euro. These are the first corporate bonds placed with i...
9201 Longacre St,RealT,$52,$52.02,Trading,Equity,International Non-US,"9201 Longacre is a charming single-family cottage located in the quiet residential neighborhood of Grandale. Built in 1947, this property is well-maintained and, like many homes of its era, sports a s..."
Sportsparadise,SPOS,$2,$1.82,Trading,Equity,International Non-US,"Sportsparadise.ch is the platform that optimally supports endurance athletes on the way to their next competition. In the 1# endurance sports calendar, their members discover and plan participation in..."
10048 Grayton St,RealT,$52,$51.76,Trading,Equity,International Non-US,"10048 Grayton, a property initially acquired for $58,000 in 2020 as one of our early offerings (the 14th), has now transitioned to a Reg S offering, opening investment opportunities to non-US investor..."
12050 Bryden St,RealT,$50,$50.36,Trading,Equity,International Non-US,TBA
Societe Generale - 40M EUR,SOCGEN40M,-,$1,Trading,Fixed Income,International Accredited,"On 14 May 2020, Societe Generale SFH, the covered bond vehicle of Societe Generale, issued €40 million of covered bonds (“obligations de financement de l’habitat” or “OFH”)) as security tokens directl..."
10612 Somerset Ave,RealT,$51,$51.15,Trading,Equity,International Non-US,TBA
212 N Park Ave,RealT,$51,$50.72,Trading,Equity,International Non-US,"N Park, a converted 1920s home in Ford Eastern, Jackson, offers six units, including five one-bedroom and one two-bedroom. Conveniently located across the Grand River from downtown, it features a whee..."
19391 Grandview St,RealT,$53,$52.96,Trading,Equity,International Non-US,TBA
8308 Denison Ave,RealT,$50,$50.07,Trading,Equity,International Non-US,"The house is conveniently located near Stockyard Community Elementary and Clever Bee Academy-Ridge Road Preschool, both Constellation public charter schools."
450 Kitchener St,RealT,$51,$51.22,Trading,Equity,International Non-US,TBA
WisdomTree Short Duration Income Digital Fund,WTSIX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,The WisdomTree Short-Duration Income Digital Fund seeks income consistent with the preservation of capital.
19530 Hickory St,RealT,$51,$50.62,Trading,Equity,International Non-US,TBA
3280 W Boston Blvd,RealT,$51,$50.62,Trading,Equity,International Non-US,TBA
15373 Parkside St Detroit,RealT,$59,$58.82,Trading,Equity,International Non-US,TBA
14231 Strathmoor St Detroit,RealT,$52,$52.46,Trading,Equity,International Non-US,TBA
4444 Lillibridge St,RealT,$50,$50.28,Trading,Equity,International Non-US,TBA
18613 Anglin St,RealT,$51,$50.82,Trading,Equity,International Non-US,TBA
WisdomTree TIPS Digital Fund,TIPSX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,"The WisdomTree TIPS Digital Fund seeks to track the performance, before fees and expenses, of an Index designed to measure the performance of inflation-protected obligations of the U.S. Treasury."
9200 Harvard Rd,RealT,$50,$49.74,Trading,Equity,TBA,TBA
9164 Longridge Dr,RealT,$51,$50.56,Trading,Equity,International Non-US,"This property includes the convenience of an attached garage and a spacious yard, adding significant value and practicality for residents.
This residence is situated in an area that has witnessed t..."
1 Holdings Montclair St,RealT,$51,$50.91,Trading,Equity,International Non-US,TBA
4000 Taylor St,RealT,$54,$54.34,Trading,Equity,International Non-US,TBA
19396 Westphalia St,RealT,$51,$50.56,Trading,Equity,International Non-US,"Located at 19396 Westphalia in Detroit's Pulaski neighborhood, this property is a brick bungalow featuring a detached 2-car garage. It includes 3 bedrooms and 1 bathroom within 1,108 square feet of li..."
8821 Prairie St,RealT,$51,$50.82,Trading,Equity,International Non-US,TBA
927 Buckeye Dr,RealT,$50,$50.18,Trading,Equity,International Non-US,"Situated in northwest Ferguson, Buckeye enjoys proximity to Walnut Grove Elementary School, Independence Park, and Johnson-Wabash Elementary School, creating a community-centric environment. The area’..."
10435 10445 Cadieux Rd,RealT,$51,$50.54,Trading,Equity,International Non-US,TBA
Canton of Basel - 105M CHF,BASEL105M,"$5,681",$,Trading,Fixed Income,International Accredited,"The Canton of Basel, Switzerland, launched a 4-year CHF digitally-native bond with a total issue volume of CHF 105 million and a maturity in 2027. The bond is being issued on the Distributed Ledger Te..."
14882 Troester St Detroit,RealT,$54,$54.21,Trading,Equity,International Non-US,TBA
18014 North Blvd,RealT,$51,$50.51,Trading,Equity,International Non-US,"Located in Maple Heights, Ohio, 18014 North is a serene two-story single-family home with 4 bedrooms, 1.5 bathrooms, and 1,335 square feet of living space, situated on a spacious 12,898 square-foot lo..."
6582 Bewick St,RealT,$49,$49.17,Trading,Equity,International Non-US,TBA
Better Holdco,UBTR,$4,$36.9,Trading,Lp Fund Interest,International Non-US,"Based in New York City, Better is a direct lender working with buyers to transform the entire mortgage process, from application to funding of a loan."
15753 Hartwell St,RealT,$56,$55.76,Trading,Equity,International Non-US,"The duplex at 15753 Hartwell St in the Bethune Community area of Detroit, Michigan, was built in 1929. This two-unit property boasts an interior size of 1,286 square feet on a 4,356 square foot lot. E..."
4852-4854 W Cortez St,RealT,$51,$50.90,Trading,Equity,International Non-US,TBA
14409 Linnhurst St,RealT,$50,$50.16,Trading,Equity,International Non-US,TBA
16200 Fullerton Ave,RealT,$186,$185.80,Closed,Equity,International Non-US,"Right in the heart of the revitalization of Detroit, 16200 Fullerton is a 15-unit apartment building that has undergone comprehensive renovations in 2019, and now is a stabilized, income-producing ass..."
1158 Bosworth Dr,RealT,$51,$50.89,Trading,Equity,International Non-US,"Other nearby amenities include the Grace New Covenant Church Community Ministry Center and Gibson Elementary School, making it an ideal option for small families."
20039 Bloom St,RealT,$50,$50.25,Trading,Equity,International Non-US,TBA
9950 Beaconsfield St,RealT,$50,$50.48,Trading,Equity,International Non-US,"9950 Beaconsfield represents an excellent investment opportunity in Detroit's Conner neighborhood, known for its strong community bonds and cultural diversity. This single-family home, spanning 1,146..."
14606 Kentucky St,RealT,$50,$49.74,Trading,Equity,International Non-US,TBA
INX Limited,INX,"$1,000",$.90,Trading,Revenue Sharing,Non-Accredited Retail,"INX ONE is the world's first fully regulated platform, merging investing and trading in security tokens, cryptocurrencies, and capital raise offerings all in ONE place. INX ONE is shaping a new invest..."
14825 Wilfred St Detroit,RealT,$53,$52.75,Trading,Equity,International Non-US,TBA
ArCoin,RCOIN,"$1,000",$1,Trading,,US Accredited,"Arca Labs creates tomorrow’s investment products grounded in digital, registered structures of today
Arca Labs strives to lead the digitization of financial products through the application of bloc..."
Rappi Inc.,URAP,$1,$87,Trading,Lp Fund Interest,International Non-US,Rappi is a consumer tech company that specializes in providing online delivery services.
9169 Boleyn St,RealT,$59,$59.05,Trading,Equity,International Non-US,TBA
1 Holdings Harding St,RealT,$51,$50.53,Trading,Equity,International Non-US,TBA
,S) 616 E 131st St (RealT,"$53,924",$50,Trading,Equity,International Non-US,"Built in 1921, 616 E 131st St Cleveland OH is a duplex in Forest Hill, Cleveland with plans for renovation.
Reg S for international investors."
WisdomTree Siegel Moderate Digital Fund,MODRX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,"The WisdomTree Siegel Moderate Digital Fund seeks long-term capital appreciation utilizing an asset allocation strategy by predominantly investing in exchange-traded funds, including a significant por..."
2411 Caverhill Dr,RealT,$50,$50.13,Trading,Equity,International Non-US,"Built on a large 7,405 square-foot lot and surrounded by the Bella Fontaine West County Park, this well-maintained property offers natural green spaces and accessibility."
EIB - 100M EUR,EIB100M,$0,$1,Trading,Fixed Income,International Accredited,"On 27 April 2021, the EIB launched a digital bond issuance on a blockchain platform, deploying this distributed ledger technology for the registration and settlement of digital bonds, in collaboration..."
14511 Houston-Whittier St,RealT,$50,$50.30,Trading,Equity,International Non-US,TBA
20257 Monica St,RealT,$50,$49.84,Trading,Equity,International Non-US,"Situated in the Garden Homes neighborhood of Detroit, 20257 Monica St is a charming single-family home constructed in 1950, featuring 3 bedrooms and 1 bathroom on a single story. This fully rented Rea..."
WisdomTree 3-7 Year Treasury Digital Fund,WTTSX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,"The WisdomTree 3-7 Year Treasury Digital Fund seeks to track the performance, before fees and expenses, of an index designed to measure the performance of obligations of the U.S. Treasury with maturit..."
3344 E 140th St,RealT,$52,$51.94,Trading,Equity,International Non-US,TBA
Fat Brands - 40M USD B-2,FAT2020-1-B2,-,$1,Trading,Fixed Income,US Accredited,Fat Brands has completed an offering of $40 million of Series 2020-1 Fixed Rate Asset-Backed Notes (the “Notes”). The offering has been structured as a whole business securitization transaction throug...
8034 Faith Ln,RealT,$51,$51.14,Trading,Equity,International Non-US,TBA
2950-2952 Monterey St,RealT,$58,$58.03,Trading,Equity,International Non-US,TBA
8644 Greenview Ave,RealT,$50,$50.20,Trading,Equity,International Non-US,"8644 Greenview is a charming single-family brick bungalow in Detroit's Warrendale neighborhood, offering a compact yet comfortable living space with 3 bedrooms and 1 bathroom across 788 square feet, a..."
272 NE 42nd Court,RealT,$109,$108.83,Trading,Equity,International Non-US,TBA
16910 Grovewood Ave,RealT,$51,$50.86,Trading,Equity,International Non-US,"Built on a 4,552 square-foot lot, this property offers a comfortable living space with the convenience of a 2-car garage, and the colonial design gives the duplex a vintage feel. The nearby Grovewood..."
19268 Eureka St,RealT,$53,$52.76,Trading,Equity,International Non-US,TBA
14329 Strathmoor St,RealT,$49,$49.44,Trading,Equity,International Non-US,TBA
4437 Lillibridge St,RealT,$51,$50.71,Trading,Equity,International Non-US,TBA
Boss Info AG,BOSS,$0,$10,Trading,Equity,International Non-US,"Through the use of innovative technologies, Boss Info AG optimizes customers' business processes with advice, ICT solutions and services."
TBo c/o Comon Accelerator Holding AG,TBOS,$1,$145,Trading,Equity,International Non-US,TBo Clothing is the first bodywear brand for men that co-creates its products with its community.
15225 Bringard Dr,RealT,$51,$50.72,Trading,Equity,International Non-US,"15225 Bringard, a captivating Single Family Residence in the heart of the Burbank neighborhood, conveniently located near the Sea World Fish Market and the Shiloh Chapel Church of God. This property i..."
9624 Abington Ave,RealT,$50,$49.78,Trading,Equity,TBA,TBA
11965 Lakepointe St,RealT,$50,$50.11,Trading,Equity,TBA,TBA
Axelra Early Stage AG,AXRAS,$100,$25,Trading,Equity,International Non-US,Axelra builds and launches Tech Ventures and ships revenue generating MVPs after 100 days.
19535 Fairport St,RealT,$55,$55.05,Trading,Equity,International Non-US,TBA
4008 Lillibridge St,RealT,$50,$50.06,Trading,Equity,International Non-US,Its proximity to downtown Detroit makes the West End an attractive location for homebuyers seeking affordability without compromising on convenience.
3880 Fairview St,RealT,$51,$50.70,Trading,Equity,International Non-US,TBA
"EnergyFunders Yield Fund I, LLC",ENFD,"$5,000",$10,Trading,Lp Fund Interest,US Accredited,"EnergyFunders revolutionizes investment with the ENFD token, having secured nearly $15 million from close to 200 investors through a Regulation D placement in 2022. The ENFD token launched secondary t..."
18668 St Louis St,RealT,$54,$53.65,Trading,Equity,International Non-US,TBA
11217 Greenwich Ave,RealT,$51,$51.21,Trading,Equity,International Non-US,"The duplex at 11217 Greenwich Ave, located in the Union - Miles Park suburb of Cleveland, Ohio, dates back to 1924. This property comprises 2 units with an interior space totaling 1,850 square feet, s..."
15110 Freeland St,RealT,$50,$50.16,Trading,Equity,International Non-US,"Nestled in the heart of Detroit, 15110 Freeland stands as a testament to urban living at its finest. Surrounded by public parks, restaurants, and shop hubs like Foot Locker, this property is a beacon..."
8003 S Ingleside Ave,RealT,$51,$50.64,Trading,Equity,International Non-US,TBA
5942 Audubon Rd,RealT,$82,$82,Trading,Equity,International Non-US,"This classic 1930s home in the Morningside neighborhood of Detroit is the epitome of a promising single-family property investment. The 2,571 square-foot home, completely rehabilitated and rented in 2..."
3937 Lillibridge St,RealT,$50,$50.27,Trading,Equity,International Non-US,"With 4 bedrooms and 2 bathrooms, this home offers ample living space for families. Nearby, you can find the Barack Obama Leadership Academy and the Siloam Missionary Baptist Church, providing tenants..."
BBVA - 35M EUR,BBVA35M,-,$1,Trading,Fixed Income,International Accredited,BBVA Group issued the first structured green bond using blockchain technology to negotiate the terms and conditions. It is a private placement in which MAPFRE invested €35 million six year term bond l...
11750 Morang Ave,RealT,$52,$51.64,Trading,Equity,International Non-US,"The multi-family residence at 11750 Morang Ave in the Moross - Morang suburb of Detroit, Michigan, was built in 1956 and comprises 12 units, with a total interior space of 10,696 square feet on a 13,5..."
Rüedu Bern AG,RUEDS,$400,$80,Trading,Equity,International Non-US,"Rüedu brings fresh and regional food directly from the producer to the neighborhoods - at any time of the day or night. The goods on offer are traded fairly, sustainably and in partnership. As the cla..."
19539 Hickory St,RealT,$51,$50.64,Trading,Equity,International Non-US,TBA
14622 Hubbell Ave,RealT,$49,$49.26,Trading,Equity,International Non-US,TBA
12047 Nashville St,RealT,$50,$50.21,Trading,Equity,International Non-US,"The residence enjoys a peaceful setting, further enhanced by its proximity to O’Brien Playground and the Refuge Temple Cathedral of His Glory Church, contributing to a serene and family-friendly envir..."
19751 Marx St,RealT,$51,$50.71,Trading,Equity,International Non-US,TBA
9433 Ardmore Dr,RealT,$51,$50.92,Trading,Equity,International Non-US,"With a prime location near Danforth Elementary School and the Michelle Obama Early Childhood Academic Center, this residence is an ideal haven for families."
Olam International - 400M SGD,OLAM400M,-,$1,Trading,Fixed Income,International Non-US,"Singapore Exchange (SGX), working together with HSBC Singapore and Temasek, has completed its first digital bond issuance on SGX’s digital asset issuance, depository and servicing platform, successful..."
1418 W Marquette Rd,RealT,$50,$50.36,Trading,Equity,International Non-US,TBA
11845 Camden Ave,RealT,$48,$48.32,Trading,Equity,International Non-US,TBA
324 Piper St,RealT,$52,$52.04,Trading,Equity,International Non-US,"The property, affectionately named Piper, is a charming brick duplex featuring two fully-rented units, strategically situated for convenient access to shopping, dining, and parks. It is also in close..."
15611 E Seven Mile Rd,RealT,$49,$48.94,Trading,Equity,International Non-US,TBA
6923 Greenview Ave Detroit,RealT,$54,$53.62,Trading,Equity,International Non-US,TBA
Davivienda - 110M COP,PFDAVVNDA110M,-,$1,Trading,Fixed Income,International Accredited,"The COP$110 million bond is a pilot project developed within the Financial Superintendence of Colombia’s “sandbox” for regulatory innovation
The IDB Group — comprised of the Inter-American Developm..."
Daiwa Securities Group 1st Unsecured Security Token Bond,DAIWA1B,-,$,Trading,Fixed Income,International Non-US,"Daiwa Securities, Rakuten Securities, Mizuho Bank, Mitsubishi UFJ Trust and Banking, and Progmat are collaborating to issue a corporate bond security token geared toward individual investors. This bon..."
1 Holdings Milton St,RealT,$51,$50.79,Trading,Equity,International Non-US,TBA
2 Holdings Milton St,RealT,$50,$50.47,Trading,Equity,International Non-US,"2 Holdings Milton is a curated collection of 4 single-family homes, comprising two 3-bedroom and two 4-bedroom properties. Situated in a neighborhood that offers easy access to business areas, essenti..."
2661 2663 Cortland St,RealT,$53,$52.85,Trading,Equity,International Non-US,TBA
EIB - 100M EUR 2,EIB100M2,-,$1,Trading,Fixed Income,International Accredited,"The European Investment Bank (EIB) — in collaboration with Goldman Sachs Bank Europe, Santander and Société Générale — launched Project Venus, their second euro-denominated digitally native bond issue..."
Hong Kong Digital Green Bond - 80M EUR Tranche,HKGBGR2602B,-,$,Trading,Fixed Income,International Accredited,The Government of the Hong Kong Special Administrative Region of the People’s Republic of China (the HKSAR Government) on 2/7/24 announced the successful offering of around HK$6 billion worth of digit...
11701 Morang Ave,RealT,$49,$49.28,Trading,Equity,International Non-US,TBA
19596 Goulburn Ave Detroit,RealT,$50,$50.46,Trading,Equity,US Accredited,TBA
SiriHub,SiriHubA,$1,$10,Trading,Equity,International Non-US,"SPV 77 Company Limited is the Digital Token Issuer and the Trust Settlor, where Siripat Four Company Limited’s shares have all been transferred into the Trust as assets.
Mr. Korrawit Sawatyanon d..."
AspenCoin,St. Regis) (ASPD,"$10,000",$1.00,Trading,Revenue Sharing,US Accredited,"Aspen Digital is a subsidiary of Elevated Returns LLC, a global real estate firm that is leading the development of the security token market. Elevated Returns’ objective is to build a borderless mark..."
17813 Bradford St Detroit,RealT,$51,$51.33,Trading,Equity,International Non-US,TBA
2550 Greenway St,RealT,$51,$51.39,Trading,Equity,International Non-US,TBA
11830 Camden Ave,RealT,$47,$47.43,Closed,Equity,International Non-US,TBA
5344-5346 Belvidere St,RealT,$51,$50.91,Trading,Equity,International Non-US,"The duplex at 5344-5346 Belvidere, in Gratiot Woods, Detroit, reflects vintage 1910s-1920s architecture, built by the Detroit Catholic Pastoral Alliance. It features two units, each with three bedroom..."
2518-2520 Glendale Ave,RealT,$51,$50.51,Trading,Equity,International Non-US,TBA
Realio Security,RST,"$1,000",$1,Trading,Other,US Accredited,"Realio is a digital issuance, investment and peer-to-peer trading platform that utilizes a proprietary distributed network for issuing-on and interconnecting decentralized ecosystems."
17310 Bentler St,RealT,$51,$50.84,Trading,Equity,International Non-US,"Located in the heart of Detroit, MI, 17310 Bentler is a 14-unit multi-family residence that is 95% rehabilitated, spanning 7,860 square feet and situated on an 11,979 square foot lot. Within reach of..."
3946 Fairview St,RealT,$50,$50.28,Trading,Equity,International Non-US,TBA
Hong Kong Digital Green Bond - 1.5B RMB Tranche,HKGBGR2602-R,-,$,Trading,Fixed Income,International Accredited,The Government of the Hong Kong Special Administrative Region of the People’s Republic of China (the HKSAR Government) on 2/7/24 announced the successful offering of around HK$6 billion worth of digit...
TradeShift,UTSH,$5,$21.90,Trading,Lp Fund Interest,International Non-US,Tradeshift is a cloud-based business network connecting buyers and suppliers. Its platform enables its clients to connect with all their suppliers digitally allowing businesses to simplify supply chai...
4021 E Outer Drive,RealT,$53,$53.43,Trading,Equity,International Non-US,TBA
Finelli Studios AG,FNLS,$100,$53.36,Trading,Equity,International Non-US,"FINELLI Studios AG is the largest luxury streetwear brand from Switzerland. It seamlessly combines distinctive designs with the latest trends.
FINELLI offers fashion enthusiasts long-lasting clothi..."
1204 E Manhattan Blvd,RealT,$51,$51.20,Trading,Equity,International Non-US,"The multi-family property located at 1204 E Manhattan Blvd in the Lagrange neighborhood of Toledo, Ohio, was built in 1950. The building includes 13 units with a total interior space of 10,945 square..."
16007 Nelacrest Rd,RealT,$50,$50.12,Trading,Equity,International Non-US,TBA
12410 Hamburg St,RealT,$54,$53.55,Trading,Equity,International Non-US,"The single-family home at 12410 Hamburg St, located in the Lasalle College Park suburb of Detroit, Michigan, was built in 1926. This property has an interior size of 988 square feet and a lot size of..."
1521-1523 S Drake,RealT,$50,$49.95,Trading,Equity,International Non-US,TBA
14319 Rosemary St Detroit,RealT,$50,$49.69,Trading,Equity,International Non-US,TBA
625 Virginia St,RealT,$51,$50.64,Trading,Equity,International Non-US,TBA
Redwood Trust LiquidFi Securitizations,SEMT,$0,$0,Trading,Other,US Accredited,Sequoia (also known as SEMT) is the brand name for Redwood-sponsored securitizations of residential real estate loans. Sequoia entities are independent securitization entities that acquire residential...
14439 Longview St,RealT,$49,$49.14,Trading,Equity,TBA,TBA
3947 Fairview St,RealT,$51,$51.13,Trading,Equity,International Non-US,TBA
16049-16081 E Seven Mile,RealT,$51,$50.94,Trading,Equity,International Non-US,TBA
15285 Fordham St,RealT,$50,$50.44,Trading,Equity,International Non-US,"Discover 15285 Fordham, a single-family brick home with 3 bedrooms, 1 bathroom, and a detached garage. This cozy building enjoys 972 square feet of living space on a 3,964 square-foot lot. Located in..."
15084 Lesure St,RealT,$51,$51.05,Trading,Equity,International Non-US,TBA
1612 Denver Ave,RealT,$49,$48.72,Trading,Equity,International Non-US,"The multi-family residence at 1612 Denver Ave in the East Toledo neighborhood of Toledo, Ohio, was constructed in 1917. The building comprises 3 units with a total interior space of 2,339 square feet,..."
15824 Cheyenne St,RealT,$50,$50.32,Trading,Equity,International Non-US,"TBANestled in a bustling community, 15824 Cheyenne offers its residents both urban convenience and a variety of nearby restaurants and parks. Added to this is the enriching presence of the John R. Kin..."
10059 Britain St,RealT,$50,$49.69,Trading,Equity,International Non-US,"Nestled in Detroit's Yorkshire Woods neighborhood, 10059 Britain St stands as a charming single-family residence, constructed in 1930. With its two-story layout and accommodating four bedrooms along w..."
19000 Fenton St,RealT,$50,$50.06,Trading,TBA,International Non-US,"This lovely multi-family property is the twin of 18980 Fenton next door. Built in 1963, 19000 Fenton is composed of 24 fully-rented units and 24 parking spaces. This property is more than a residence..."
ConsenSys Inc,ConsenSys,$2,$159,Trading,Lp Fund Interest,International Non-US,ConsenSys is the leading software company that develops decentralised solutions on Ethereum blockchain.
4601 Lillibridge St,RealT,$50,$50.09,Trading,Equity,International Non-US,"4601 Lillibridge is a traditional single-family residence featuring 3 bedrooms and 1 bathroom on a 4,225-square-foot lot – plenty of yard for tenants to enjoy! The property also includes an attached 1..."
11078 Longview St,RealT,$51,$50.59,Trading,Equity,International Non-US,TBA
19400 Hickory St,RealT,$51,$50.62,Trading,Equity,International Non-US,TBA
9943 Marlowe St,RealT,"$63,750",$63.75,Trading,Equity,International Non-US,"Introducing the newly renovated 9943 Marlowe, a spacious, 3BR / 1 bathroom brownstone bungalow located in Detroit’s Fiskhorn neighborhood. The charm of this historic home is amplified with renovated i..."
